name,dismissal,runs,bf,mins,4s,6s,sr,team,inns,pos,start date,ground,grnd_ctry
Graham Gooch,caught,0,3,1,0,0,0.0,England,2,5,1975-07-10,Birmingham,England
Graham Gooch,caught,0,7,7,0,0,0.0,England,3,5,1975-07-10,Birmingham,England
Graham Gooch,caught,6,17,25,1,0,35.29,England,1,5,1975-07-31,Lord's,England
Graham Gooch,bowled,31,71,88,4,0,43.66,England,3,5,1975-07-31,Lord's,England
Graham Gooch,caught,2,13,18,0,0,15.38,England,2,2,1978-12-01,Brisbane,Australia
David Gower,caught,44,90,111,5,0,48.88,England,2,6,1978-12-01,Brisbane,Australia
Graham Gooch,caught,2,33,53,0,0,6.06,England,4,2,1978-12-01,Brisbane,Australia
David Gower,not out,48,90,109,4,0,53.33,England,4,5,1978-12-01,Brisbane,Australia
Graham Gooch,caught,1,10,19,0,0,10.0,England,1,2,1978-12-15,Perth,Australia
David Gower,bowled,102,221,254,9,0,46.15,England,1,5,1978-12-15,Perth,Australia
Graham Gooch,lbw,43,131,174,5,0,32.82,England,3,2,1978-12-15,Perth,Australia
David Gower,caught,12,47,68,0,0,25.53,England,3,5,1978-12-15,Perth,Australia
Allan Border,caught,29,115,105,4,0,25.21,Australia,1,6,1978-12-29,Melbourne,Australia
Graham Gooch,caught,25,91,110,1,0,27.47,England,2,4,1978-12-29,Melbourne,Australia
David Gower,lbw,29,48,59,4,0,60.41,England,2,5,1978-12-29,Melbourne,Australia
Allan Border,run out,0,12,9,0,0,0.0,Australia,3,6,1978-12-29,Melbourne,Australia
Graham Gooch,lbw,40,87,95,5,0,45.97,England,4,4,1978-12-29,Melbourne,Australia
David Gower,lbw,49,128,167,3,0,38.28,England,4,5,1978-12-29,Melbourne,Australia
Graham Gooch,caught,18,81,102,1,0,22.22,England,1,4,1979-01-06,Sydney,Australia
David Gower,caught,7,10,24,0,0,70.0,England,1,5,1979-01-06,Sydney,Australia
Allan Border,not out,60,203,245,4,0,29.55,Australia,2,6,1979-01-06,Sydney,Australia
Graham Gooch,caught,22,98,128,1,0,22.44,England,3,4,1979-01-06,Sydney,Australia
