name,overs,maidens,runs,wickets,economy,0s,4s,6s,wides,no-balls,bpo,balls,team,inns,pos,start date,ground,grnd_ctry
Dennis Lillee,28.3,0,84,5,2.22,-,-,-,0,0,8,227,Australia,1,2,29/01/1971,Adelaide,Australia
Dennis Lillee,7,0,40,0,4.28,-,-,-,0,0,8,56,Australia,3,2,29/01/1971,Adelaide,Australia
Dennis Lillee,13,5,32,1,1.84,-,-,-,0,0,8,104,Australia,1,1,12/02/1971,Sydney,Australia
Dennis Lillee,14,0,43,2,2.3,-,-,-,0,0,8,112,Australia,3,1,12/02/1971,Sydney,Australia
Dennis Lillee,29,14,40,2,1.37,-,-,-,0,0,6,174,Australia,1,1,8/06/1972,Manchester,England
Dennis Lillee,30,8,66,6,2.2,-,-,-,0,0,6,180,Australia,3,1,8/06/1972,Manchester,England
Dennis Lillee,28,3,90,2,3.21,-,-,-,0,0,6,168,Australia,1,1,22/06/1972,Lord's,England
Dennis Lillee,21,6,50,2,2.38,-,-,-,0,0,6,126,Australia,3,1,22/06/1972,Lord's,England
Dennis Lillee,29,15,35,4,1.2,-,-,-,0,0,6,174,Australia,2,1,13/07/1972,Nottingham,England
Dennis Lillee,25,10,40,2,1.6,-,-,-,0,0,6,150,Australia,4,1,13/07/1972,Nottingham,England
Dennis Lillee,26.1,10,39,2,1.49,-,-,-,0,0,6,157,Australia,2,1,27/07/1972,Leeds,England
Dennis Lillee,5,2,7,1,1.4,-,-,-,0,0,6,30,Australia,4,1,27/07/1972,Leeds,England
Dennis Lillee,24.2,7,58,5,2.38,-,-,-,0,0,6,146,Australia,1,1,10/08/1972,The Oval,England
Dennis Lillee,32.2,8,123,5,3.8,-,-,-,0,0,6,194,Australia,3,1,10/08/1972,The Oval,England
Dennis Lillee,23,6,73,2,2.38,-,-,-,0,0,8,184,Australia,2,1,29/11/1974,Brisbane,Australia
Dennis Lillee,12,2,25,2,1.56,-,-,-,0,0,8,96,Australia,4,1,29/11/1974,Brisbane,Australia
Dennis Lillee,16,4,48,2,2.25,-,-,-,0,0,8,128,Australia,1,1,13/12/1974,Perth,Australia
Dennis Lillee,22,5,59,2,2.01,-,-,-,0,0,8,176,Australia,3,1,13/12/1974,Perth,Australia
Dennis Lillee,20,2,70,2,2.62,-,-,-,0,0,8,160,Australia,1,1,26/12/1974,Melbourne,Australia
Dennis Lillee,17,3,55,2,2.42,-,-,-,0,0,8,136,Australia,3,1,26/12/1974,Melbourne,Australia
Dennis Lillee,19.1,2,66,2,2.58,-,-,-,0,0,8,153,Australia,2,1,4/01/1975,Sydney,Australia
Dennis Lillee,21,5,65,2,2.32,-,-,-,0,0,8,168,Australia,4,1,4/01/1975,Sydney,Australia
Dennis Lillee,12.5,2,49,4,2.91,-,-,-,0,0,8,101,Australia,2,1,25/01/1975,Adelaide,Australia
Dennis Lillee,14,3,69,4,3.69,-,-,-,0,0,8,112,Australia,4,1,25/01/1975,Adelaide,Australia
Dennis Lillee,6,2,17,1,2.12,-,-,-,0,0,8,48,Australia,2,1,8/02/1975,Melbourne,Australia
Dennis Lillee,15,8,15,5,1,-,-,-,0,0,6,90,Australia,2,1,10/07/1975,Birmingham,England
Dennis Lillee,20,8,45,2,2.25,-,-,-,0,0,6,120,Australia,3,1,10/07/1975,Birmingham,England
Dennis Lillee,20,4,84,4,4.2,-,-,-,0,0,6,120,Australia,1,1,31/07/1975,Lord's,England
Dennis Lillee,33,10,80,1,2.42,-,-,-,0,0,6,198,Australia,3,1,31/07/1975,Lord's,England
Dennis Lillee,28,12,53,1,1.89,-,-,-,0,0,6,168,Australia,1,1,14/08/1975,Leeds,England
Dennis Lillee,20,5,48,2,2.4,-,-,-,0,0,6,120,Australia,3,1,14/08/1975,Leeds,England
Dennis Lillee,19,7,44,2,2.31,-,-,-,0,0,6,114,Australia,2,1,28/08/1975,The Oval,England
Dennis Lillee,52,18,91,4,1.75,-,-,-,0,0,6,312,Australia,3,1,28/08/1975,The Oval,England
Ian Botham,20,5,74,5,3.7,-,-,-,0,0,6,120,England,1,3,28/07/1977,Nottingham,England
Ian Botham,25,5,60,0,2.4,-,-,-,0,0,6,150,England,3,3,28/07/1977,Nottingham,England
Ian Botham,11,3,21,5,1.9,-,-,-,0,0,6,66,England,2,3,11/08/1977,Leeds,England
Ian Botham,17,3,47,0,2.76,-,-,-,0,0,6,102,England,3,4,11/08/1977,Leeds,England
Ian Botham,12,1,40,3,2.5,-,-,-,0,0,8,96,England,1,3,1/12/1978,Brisbane,Australia
Ian Botham,26,5,95,3,2.74,-,-,-,0,0,8,208,England,3,2,1/12/1978,Brisbane,Australia
Ian Botham,11,2,46,0,3.13,-,-,-,0,0,8,88,England,2,2,15/12/1978,Perth,Australia
