match_id,inns,runs,wickets,overs,balls,bpo,run_rate,minutes,total_extras,no balls,wides,byes,leg-byes,penalty_runs,home_team,home_team_id,season,season_id,series_name,series_id,team,team_id,town_area,town_name,town_id,ground_name,ground_id
62405,1,291,10,169.0,676,4,1.72,,11,3,2,4,2,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,AUS,2,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62405,2,177,10,107.2,430,4,1.64,,12,3,0,8,1,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,ENG,1,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62405,3,169,10,99.1,397,4,1.7,,1,0,0,0,1,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,ENG,1,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62405,4,58,1,53.1,213,4,1.08,,0,0,0,0,0,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,AUS,2,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62406,1,294,10,183.3,735,4,1.6,,10,4,0,3,3,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,ENG,1,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62406,2,114,10,98.2,394,4,1.15,,10,1,0,6,3,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,AUS,2,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62406,3,153,10,69.0,276,4,2.21,,1,0,0,1,0,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,AUS,2,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62407,1,247,10,143.0,572,4,1.72,,12,1,0,8,3,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,ENG,1,New South Wales,Sydney,29,Sydney Cricket Ground,132
62407,2,218,10,179.1,717,4,1.21,,10,1,1,6,2,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,AUS,2,New South Wales,Sydney,29,Sydney Cricket Ground,132
62407,3,123,10,80.1,321,4,1.53,,7,0,0,5,2,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,ENG,1,New South Wales,Sydney,29,Sydney Cricket Ground,132
62407,4,83,10,69.2,278,4,1.19,,9,0,1,6,2,0,AUS,2,1882/83,0,England [IFW Bligh's XI] tour of Australia,17716,AUS,2,New South Wales,Sydney,29,Sydney Cricket Ground,132
62409,1,95,10,63.0,252,4,1.5,,1,0,0,0,1,0,ENG,1,1884,1,Australia tour of England,17710,ENG,1,,Manchester,232,"Old Trafford, Manchester",75
62409,2,182,10,130.0,520,4,1.4,,2,0,0,0,2,0,ENG,1,1884,1,Australia tour of England,17710,AUS,2,,Manchester,232,"Old Trafford, Manchester",75
62409,3,180,9,130.0,520,4,1.38,,24,1,0,18,5,0,ENG,1,1884,1,Australia tour of England,17710,ENG,1,,Manchester,232,"Old Trafford, Manchester",75
62410,1,229,10,105.2,422,4,2.17,,8,0,0,5,3,0,ENG,1,1884,1,Australia tour of England,17710,AUS,2,,London,224,"Lord's, London",10
62410,2,379,10,184.1,737,4,2.05,,20,0,0,15,5,0,ENG,1,1884,1,Australia tour of England,17710,ENG,1,,London,224,"Lord's, London",10
62410,3,145,9,94.1,377,4,1.53,,1,0,0,1,0,0,ENG,1,1884,1,Australia tour of England,17710,AUS,2,,London,224,"Lord's, London",10
62411,1,551,10,311.0,1244,4,1.77,,17,0,0,7,10,0,ENG,1,1884,1,Australia tour of England,17710,AUS,2,,London,224,"Kennington Oval, London",45
62411,2,346,10,198.0,792,4,1.74,,24,3,6,8,7,0,ENG,1,1884,1,Australia tour of England,17710,ENG,1,,London,224,"Kennington Oval, London",45
62411,3,85,2,26.0,104,4,3.26,,4,0,0,3,1,0,ENG,1,1884,1,Australia tour of England,17710,ENG,1,,London,224,"Kennington Oval, London",45
62412,1,243,10,149.1,597,4,1.62,,9,0,2,7,0,0,AUS,2,1884/85,2,England tour of Australia,17709,AUS,2,South Australia,Adelaide,2,Adelaide Oval,131
62412,2,369,10,243.2,974,4,1.51,,20,1,0,18,1,0,AUS,2,1884/85,2,England tour of Australia,17709,ENG,1,South Australia,Adelaide,2,Adelaide Oval,131
62412,3,191,9,116.1,465,4,1.64,,7,0,0,7,0,0,AUS,2,1884/85,2,England tour of Australia,17709,AUS,2,South Australia,Adelaide,2,Adelaide Oval,131
62412,4,67,2,31.0,124,4,2.16,,4,0,0,4,0,0,AUS,2,1884/85,2,England tour of Australia,17709,ENG,1,South Australia,Adelaide,2,Adelaide Oval,131
62413,1,401,10,216.2,866,4,1.85,,20,1,0,7,12,0,AUS,2,1884/85,2,England tour of Australia,17709,ENG,1,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62413,2,279,10,274.1,1097,4,1.01,,11,2,2,3,4,0,AUS,2,1884/85,2,England tour of Australia,17709,AUS,2,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62413,3,126,10,114.3,459,4,1.09,,0,0,0,0,0,0,AUS,2,1884/85,2,England tour of Australia,17709,AUS,2,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62413,4,7,0,1.1,5,4,5.6,,0,0,0,0,0,0,AUS,2,1884/85,2,England tour of Australia,17709,ENG,1,Victoria,Melbourne,25,Melbourne Cricket Ground,61
62414,1,181,10,167.2,670,4,1.08,,8,0,0,3,5,0,AUS,2,1884/85,2,England tour of Australia,17709,AUS,2,New South Wales,Sydney,29,Sydney Cricket Ground,132
62414,2,133,10,95.1,381,4,1.39,,13,2,0,8,3,0,AUS,2,1884/85,2,England tour of Australia,17709,ENG,1,New South Wales,Sydney,29,Sydney Cricket Ground,132
62414,3,165,10,157.0,628,4,1.05,,2,0,0,1,1,0,AUS,2,1884/85,2,England tour of Australia,17709,AUS,2,New South Wales,Sydney,29,Sydney Cricket Ground,132
62414,4,207,10,111.1,445,4,1.86,,20,1,3,7,9,0,AUS,2,1884/85,2,England tour of Australia,17709,ENG,1,New South Wales,Sydney,29,Sydney Cricket Ground,132
62415,1,269,10,126.0,504,4,2.13,,6,1,0,5,0,0,AUS,2,1884/85,2,England tour of Australia,17709,ENG,1,New South Wales,Sydney,29,Sydney Cricket Ground,132
62415,2,309,10,169.3,679,4,1.82,,11,3,2,5,1,0,AUS,2,1884/85,2,England tour of Australia,17709,AUS,2,New South Wales,Sydney,29,Sydney Cricket Ground,132
62415,3,77,10,39.1,157,4,1.96,,15,1,0,14,0,0,AUS,2,1884/85,2,England tour of Australia,17709,ENG,1,New South Wales,Sydney,29,Sydney Cricket Ground,132
